Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
LWK_OPRM1	{'insertion': 1, 'deletion': 12, 'SNV': 263}	{'splice_acceptor_variant': 1, 'stop_gained': 2, 'missense_variant': 3, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 3, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 38, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 218}	{'splice_acceptor_variant': 2, 'stop_gained': 4, 'missense_variant': 31, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 3, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 123, 'non_coding_transcript_exon_variant': 22, 'intron_variant': 3166, 'NMD_transcript_variant': 417, 'non_coding_transcript_variant': 246, 'upstream_gene_variant': 158, 'downstream_gene_variant': 422, 'regulatory_region_variant': 11}	{'stop_gained': 4, 'missense_variant': 31, 'synonymous_variant': 3}	{'tolerated': 2, 'tolerated_low_confidence': 29}	{'unknown': 1, 'benign': 30}	{'chr6': 276}	{'00-10%': 14, '10-20%': 13, '20-30%': 2, '30-40%': 3, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 0, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 276, 'Variants processed': 276, 'Variants filtered out': 0, 'Novel variants': 58, 'Existing variants': 218, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 6}
LWK_UGT2B7	{'deletion': 2, 'insertion': 4, 'SNV': 141}	{'missense_variant': 1, 'splice_region_variant': 1, 'synonymous_variant': 7, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 130}	{'missense_variant': 9, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 56, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 709, 'non_coding_transcript_variant': 221, 'upstream_gene_variant': 126, 'downstream_gene_variant': 64, 'regulatory_region_variant': 10}	{'missense_variant': 9, 'synonymous_variant': 56}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 147}	{'00-10%': 0, '10-20%': 3, '20-30%': 9, '30-40%': 2, '40-50%': 14, '50-60%': 8, '60-70%': 14, '70-80%': 10, '80-90%': 2, '90-100%': 3}	{'Lines of input read': 147, 'Variants processed': 147, 'Variants filtered out': 0, 'Novel variants': 8, 'Existing variants': 139, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
LWK_VKORC1	{'SNV': 16}	{'splice_donor_variant': 1, 'missense_variant': 1, '5_prime_UTR_variant': 7, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 2}	{'splice_donor_variant': 1, 'missense_variant': 5, 'synonymous_variant': 4, '5_prime_UTR_variant': 19, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 67, 'non_coding_transcript_variant': 7, 'upstream_gene_variant': 76, 'downstream_gene_variant': 14, 'regulatory_region_variant': 8}	{'missense_variant': 5, 'synonymous_variant': 4}	{'tolerated_low_confidence': 1, 'tolerated': 1, 'deleterious_low_confidence': 3}	{'probably_damaging': 1, 'possibly_damaging': 2, 'unknown': 2}	{'chr16': 16}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 16, 'Variants processed': 16, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 9, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 2}
MSL_CALU	{'deletion': 1, 'SNV': 16}	{'missense_variant': 3, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 6, 'intron_variant': 6}	{'missense_variant': 36, 'synonymous_variant': 24, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 89, 'intron_variant': 200, 'upstream_gene_variant': 4, 'downstream_gene_variant': 66, 'regulatory_region_variant': 1}	{'missense_variant': 36, 'synonymous_variant': 24}	{'tolerated_low_confidence': 1, 'tolerated': 29}	{'benign': 30}	{'chr7': 17}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 1, '80-90%': 20, '90-100%': 4}	{'Lines of input read': 17, 'Variants processed': 17, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 15, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 1}
MSL_CYP2C9	{'SNV': 20}	{'missense_variant': 3, 'synonymous_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 14}	{'missense_variant': 37, 'splice_region_variant': 21, 'splice_polypyrimidine_tract_variant': 17, 'synonymous_variant': 17, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 321, 'NMD_transcript_variant': 20, 'non_coding_transcript_variant': 10, 'upstream_gene_variant': 9, 'downstream_gene_variant': 7}	{'missense_variant': 37, 'synonymous_variant': 17}	{'deleterious_low_confidence': 5}	{'benign': 2, 'probably_damaging': 3}	{'chr10': 20}	{'00-10%': 0, '10-20%': 0, '20-30%': 18, '30-40%': 2, '40-50%': 4, '50-60%': 10, '60-70%': 2, '70-80%': 0, '80-90%': 15, '90-100%': 3}	{'Lines of input read': 20, 'Variants processed': 20, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 18, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
MSL_CYP4F2	{'deletion': 1, 'insertion': 3, 'SNV': 53}	{'missense_variant': 5, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 4, '5_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 39}	{'missense_variant': 86, 'splice_region_variant': 19, 'splice_polypyrimidine_tract_variant': 40, 'synonymous_variant': 82, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 17, 'intron_variant': 1012, 'NMD_transcript_variant': 49, 'non_coding_transcript_variant': 86, 'upstream_gene_variant': 50, 'downstream_gene_variant': 38}	{'missense_variant': 86, 'synonymous_variant': 82}	{'tolerated': 2, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 15}	{'possibly_damaging': 4, 'probably_damaging': 5, 'benign': 18}	{'chr19': 57}	{'00-10%': 20, '10-20%': 44, '20-30%': 14, '30-40%': 1, '40-50%': 1, '50-60%': 3, '60-70%': 15, '70-80%': 4, '80-90%': 20, '90-100%': 46}	{'Lines of input read': 57, 'Variants processed': 57, 'Variants filtered out': 0, 'Novel variants': 3, 'Existing variants': 54, 'Overlapped genes': 3, 'Overlapped transcripts': 26, 'Overlapped regulatory features': 0}
MSL_DRD2	{'deletion': 1, 'insertion': 1, 'SNV': 25}	{'synonymous_variant': 3, '3_prime_UTR_variant': 5, 'intron_variant': 19}	{'synonymous_variant': 25, '3_prime_UTR_variant': 36, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 164, 'non_coding_transcript_variant': 26, 'upstream_gene_variant': 3, 'downstream_gene_variant': 76, 'regulatory_region_variant': 1}	{'synonymous_variant': 25}			{'chr11': 27}	{'00-10%': 7, '10-20%': 1, '20-30%': 1, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 15, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 27, 'Variants processed': 27, 'Variants filtered out': 0, 'Novel variants': 8, 'Existing variants': 19, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
MSL_GGCX	{'deletion': 4, 'SNV': 16}	{'splice_acceptor_variant': 1, 'frameshift_variant': 1, 'missense_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 3, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 6}	{'splice_acceptor_variant': 31, 'frameshift_variant': 1, 'missense_variant': 23, 'splice_polypyrimidine_tract_variant': 54, 'synonymous_variant': 65, '3_prime_UTR_variant': 44, 'non_coding_transcript_exon_variant': 46, 'intron_variant': 414, 'NMD_transcript_variant': 116, 'non_coding_transcript_variant': 87, 'upstream_gene_variant': 19, 'downstream_gene_variant': 138}	{'frameshift_variant': 1, 'missense_variant': 23, 'synonymous_variant': 65}	{'tolerated': 9}	{'benign': 9}	{'chr2': 20}	{'00-10%': 3, '10-20%': 3, '20-30%': 13, '30-40%': 19, '40-50%': 17, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 3, '90-100%': 5}	{'Lines of input read': 20, 'Variants processed': 20, 'Variants filtered out': 0, 'Novel variants': 1, 'Existing variants': 19, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 0}
MSL_OPRM1	{'sequence_alteration': 1, 'insertion': 2, 'deletion': 4, 'SNV': 73}	{'missense_variant': 5, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 3, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 50}	{'missense_variant': 38, 'splice_region_variant': 11, 'splice_polypyrimidine_tract_variant': 12, 'synonymous_variant': 12, '5_prime_UTR_variant': 17, '3_prime_UTR_variant': 30, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 999, 'NMD_transcript_variant': 119, 'non_coding_transcript_variant': 73, 'upstream_gene_variant': 53, 'downstream_gene_variant': 133, 'regulatory_region_variant': 6}	{'missense_variant': 38, 'synonymous_variant': 12}	{'deleterious': 3, 'deleterious_low_confidence': 4, 'tolerated_low_confidence': 31}	{'unknown': 2, 'possibly_damaging': 2, 'probably_damaging': 3, 'benign': 31}	{'chr6': 80}	{'00-10%': 12, '10-20%': 4, '20-30%': 2, '30-40%': 0, '40-50%': 5, '50-60%': 14, '60-70%': 10, '70-80%': 0, '80-90%': 0, '90-100%': 3}	{'Lines of input read': 80, 'Variants processed': 80, 'Variants filtered out': 0, 'Novel variants': 16, 'Existing variants': 64, 'Overlapped genes': 5, 'Overlapped transcripts': 48, 'Overlapped regulatory features': 5}
MSL_UGT2B7	{'deletion': 1, 'insertion': 4, 'SNV': 69}	{'missense_variant': 2, 'synonymous_variant': 5, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 64}	{'missense_variant': 16, 'synonymous_variant': 40, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 522, 'non_coding_transcript_variant': 128, 'upstream_gene_variant': 53, 'downstream_gene_variant': 54, 'regulatory_region_variant': 4}	{'missense_variant': 16, 'synonymous_variant': 40}	{'deleterious_low_confidence': 2, 'tolerated_low_confidence': 4}	{'possibly_damaging': 2, 'benign': 4}	{'chr4': 74}	{'00-10%': 0, '10-20%': 3, '20-30%': 2, '30-40%': 0, '40-50%': 14, '50-60%': 5, '60-70%': 17, '70-80%': 10, '80-90%': 3, '90-100%': 2}	{'Lines of input read': 74, 'Variants processed': 74, 'Variants filtered out': 0, 'Novel variants': 8, 'Existing variants': 66, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
MSL_VKORC1	{'SNV': 6}	{'missense_variant': 2, 'synonymous_variant': 1, '3_prime_UTR_variant': 1, 'intron_variant': 2}	{'missense_variant': 7, 'synonymous_variant': 10, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 25, 'non_coding_transcript_variant': 3, 'upstream_gene_variant': 26, 'downstream_gene_variant': 4, 'regulatory_region_variant': 1}	{'missense_variant': 7, 'synonymous_variant': 10}	{'tolerated_low_confidence': 1, 'tolerated': 1, 'deleterious_low_confidence': 5}	{'probably_damaging': 1, 'possibly_damaging': 2, 'unknown': 4}	{'chr16': 6}	{'00-10%': 0, '10-20%': 1, '20-30%': 4, '30-40%': 2, '40-50%': 1, '50-60%': 0, '60-70%': 2, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 6, 'Variants processed': 6, 'Variants filtered out': 0, 'Novel variants': 3, 'Existing variants': 3, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
PJL_CALU	{'insertion': 2, 'SNV': 38}	{'missense_variant': 1, 'splice_region_variant': 1, '3_prime_UTR_variant': 4, 'intron_variant': 34}	{'missense_variant': 24, 'splice_region_variant': 1, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 12, 'intron_variant': 827, 'upstream_gene_variant': 18, 'downstream_gene_variant': 93, 'regulatory_region_variant': 8}	{'missense_variant': 24}	{'tolerated_low_confidence': 1, 'tolerated': 19}	{'benign': 20}	{'chr7': 40}	{'00-10%': 24, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 40, 'Variants processed': 40, 'Variants filtered out': 0, 'Novel variants': 14, 'Existing variants': 26, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 3}
PJL_CYP2C9	{'insertion': 1, 'deletion': 1, 'SNV': 68}	{'missense_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 61, 'downstream_gene_variant': 1}	{'missense_variant': 16, 'synonymous_variant': 17, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 1235, 'NMD_transcript_variant': 69, 'non_coding_transcript_variant': 22, 'upstream_gene_variant': 18, 'downstream_gene_variant': 40}	{'missense_variant': 16, 'synonymous_variant': 17}	{'deleterious_low_confidence': 1}	{'benign': 1}	{'chr10': 70}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 14, '80-90%': 0, '90-100%': 17}	{'Lines of input read': 70, 'Variants processed': 70, 'Variants filtered out': 0, 'Novel variants': 15, 'Existing variants': 55, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
PJL_CYP4F2	{'insertion': 2, 'SNV': 23}	{'missense_variant': 3, 'synonymous_variant': 1, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 16}	{'missense_variant': 52, 'synonymous_variant': 19, '3_prime_UTR_variant': 61, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 319, 'NMD_transcript_variant': 16, 'non_coding_transcript_variant': 23, 'upstream_gene_variant': 38, 'downstream_gene_variant': 39}	{'missense_variant': 52, 'synonymous_variant': 19}	{'deleterious': 1, 'tolerated_low_confidence': 5, 'deleterious_low_confidence': 10}	{'possibly_damaging': 1, 'probably_damaging': 5, 'benign': 10}	{'chr19': 25}	{'00-10%': 2, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 2, '50-60%': 4, '60-70%': 26, '70-80%': 2, '80-90%': 6, '90-100%': 29}	{'Lines of input read': 25, 'Variants processed': 25, 'Variants filtered out': 0, 'Novel variants': 9, 'Existing variants': 16, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
PJL_DRD2	{'insertion': 2, 'deletion': 3, 'SNV': 96}	{'missense_variant': 1, 'synonymous_variant': 3, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 92}	{'missense_variant': 8, 'synonymous_variant': 25, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 759, 'non_coding_transcript_variant': 125, 'upstream_gene_variant': 78, 'downstream_gene_variant': 80, 'regulatory_region_variant': 8}	{'missense_variant': 8, 'synonymous_variant': 25}	{'tolerated': 2, 'deleterious': 6}	{'benign': 1, 'possibly_damaging': 7}	{'chr11': 101}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 8, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 23, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 101, 'Variants processed': 101, 'Variants filtered out': 0, 'Novel variants': 26, 'Existing variants': 75, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
PJL_GGCX	{'insertion': 3, 'deletion': 3, 'SNV': 18}	{'missense_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 11}	{'missense_variant': 23, 'synonymous_variant': 46, '3_prime_UTR_variant': 13, 'non_coding_transcript_exon_variant': 30, 'intron_variant': 667, 'NMD_transcript_variant': 156, 'non_coding_transcript_variant': 130, 'upstream_gene_variant': 31, 'downstream_gene_variant': 136}	{'missense_variant': 23, 'synonymous_variant': 46}	{'tolerated': 9}	{'benign': 9}	{'chr2': 24}	{'00-10%': 2, '10-20%': 3, '20-30%': 5, '30-40%': 13, '40-50%': 14, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 2, '90-100%': 4}	{'Lines of input read': 24, 'Variants processed': 24, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 18, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 0}
PJL_OPRM1	{'sequence_alteration': 2, 'insertion': 4, 'deletion': 10, 'SNV': 266}	{'stop_gained': 1, 'missense_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 36, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 231}	{'stop_gained': 1, 'missense_variant': 17, 'synonymous_variant': 2, '5_prime_UTR_variant': 10, '3_prime_UTR_variant': 54, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 3397, 'NMD_transcript_variant': 437, 'non_coding_transcript_variant': 240, 'upstream_gene_variant': 115, 'downstream_gene_variant': 324, 'regulatory_region_variant': 8}	{'stop_gained': 1, 'missense_variant': 17, 'synonymous_variant': 2}	{'deleterious_low_confidence': 1, 'tolerated_low_confidence': 16}	{'unknown': 2, 'benign': 15}	{'chr6': 282}	{'00-10%': 13, '10-20%': 1, '20-30%': 1, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 4}	{'Lines of input read': 282, 'Variants processed': 282, 'Variants filtered out': 0, 'Novel variants': 71, 'Existing variants': 211, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 6}
PJL_UGT2B7	{'sequence_alteration': 2, 'insertion': 5, 'deletion': 7, 'SNV': 163}	{'missense_variant': 1, 'synonymous_variant': 3, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 167}	{'missense_variant': 9, 'synonymous_variant': 24, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 834, 'non_coding_transcript_variant': 261, 'upstream_gene_variant': 105, 'downstream_gene_variant': 78, 'regulatory_region_variant': 9}	{'missense_variant': 9, 'synonymous_variant': 24}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 177}	{'00-10%': 0, '10-20%': 2, '20-30%': 7, '30-40%': 2, '40-50%': 8, '50-60%': 3, '60-70%': 6, '70-80%': 3, '80-90%': 1, '90-100%': 1}	{'Lines of input read': 177, 'Variants processed': 177, 'Variants filtered out': 0, 'Novel variants': 13, 'Existing variants': 164, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
PJL_VKORC1	{'deletion': 1, 'SNV': 8}	{'splice_donor_variant': 2, 'missense_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 3}	{'splice_donor_variant': 2, 'missense_variant': 6, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 57, 'non_coding_transcript_variant': 7, 'upstream_gene_variant': 37, 'downstream_gene_variant': 7, 'regulatory_region_variant': 2}	{'missense_variant': 6}	{'deleterious': 4}	{'probably_damaging': 1, 'benign': 1, 'possibly_damaging': 2}	{'chr16': 9}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 5, '40-50%': 0, '50-60%': 1, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 9, 'Variants processed': 9, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 7, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
SAS_CALU	{'insertion': 4, 'SNV': 58}	{'missense_variant': 2, 'splice_region_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 7, 'intron_variant': 51}	{'missense_variant': 35, 'splice_region_variant': 1, '5_prime_UTR_variant': 16, '3_prime_UTR_variant': 43, 'intron_variant': 1269, 'upstream_gene_variant': 33, 'downstream_gene_variant': 165, 'regulatory_region_variant': 13}	{'missense_variant': 35}	{'tolerated_low_confidence': 1, 'tolerated': 28}	{'benign': 29}	{'chr7': 62}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 62, 'Variants processed': 62, 'Variants filtered out': 0, 'Novel variants': 26, 'Existing variants': 36, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 3}
SAS_CYP2C9	{'insertion': 1, 'deletion': 1, 'SNV': 112}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 1, '3_prime_UTR_variant': 9, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 95, 'downstream_gene_variant': 1}	{'missense_variant': 33, 'splice_polypyrimidine_tract_variant': 18, 'synonymous_variant': 17, '3_prime_UTR_variant': 46, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 1960, 'NMD_transcript_variant': 110, 'non_coding_transcript_variant': 40, 'upstream_gene_variant': 30, 'downstream_gene_variant': 95}	{'missense_variant': 33, 'synonymous_variant': 17}	{'tolerated_low_confidence': 2, 'deleterious_low_confidence': 2}	{'possibly_damaging': 1, 'benign': 1, 'probably_damaging': 2}	{'chr10': 114}	{'00-10%': 0, '10-20%': 0, '20-30%': 9, '30-40%': 5, '40-50%': 1, '50-60%': 1, '60-70%': 2, '70-80%': 14, '80-90%': 1, '90-100%': 17}	{'Lines of input read': 114, 'Variants processed': 114, 'Variants filtered out': 0, 'Novel variants': 28, 'Existing variants': 86, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
SAS_CYP4F2	{'insertion': 2, 'SNV': 84}	{'missense_variant': 5, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 66}	{'missense_variant': 87, 'splice_polypyrimidine_tract_variant': 21, 'synonymous_variant': 52, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 108, 'non_coding_transcript_exon_variant': 20, 'intron_variant': 1381, 'NMD_transcript_variant': 68, 'non_coding_transcript_variant': 119, 'upstream_gene_variant': 148, 'downstream_gene_variant': 72}	{'missense_variant': 87, 'synonymous_variant': 52}	{'deleterious': 1, 'tolerated': 2, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 15}	{'possibly_damaging': 1, 'probably_damaging': 9, 'benign': 18}	{'chr19': 86}	{'00-10%': 21, '10-20%': 30, '20-30%': 0, '30-40%': 1, '40-50%': 2, '50-60%': 5, '60-70%': 27, '70-80%': 4, '80-90%': 20, '90-100%': 29}	{'Lines of input read': 86, 'Variants processed': 86, 'Variants filtered out': 0, 'Novel variants': 20, 'Existing variants': 66, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
SAS_DRD2	{'insertion': 3, 'deletion': 4, 'SNV': 179}	{'missense_variant': 1, 'synonymous_variant': 3, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 170}	{'missense_variant': 8, 'synonymous_variant': 25, '5_prime_UTR_variant': 7, '3_prime_UTR_variant': 35, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 1359, 'non_coding_transcript_variant': 216, 'upstream_gene_variant': 153, 'downstream_gene_variant': 154, 'regulatory_region_variant': 13}	{'missense_variant': 8, 'synonymous_variant': 25}	{'tolerated': 2, 'deleterious': 6}	{'benign': 1, 'possibly_damaging': 7}	{'chr11': 186}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 8, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 23, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 186, 'Variants processed': 186, 'Variants filtered out': 0, 'Novel variants': 71, 'Existing variants': 115, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
SAS_GGCX	{'sequence_alteration': 1, 'insertion': 3, 'deletion': 4, 'SNV': 29}	{'missense_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 16}	{'missense_variant': 23, 'synonymous_variant': 46, '3_prime_UTR_variant': 72, 'non_coding_transcript_exon_variant': 53, 'intron_variant': 1017, 'NMD_transcript_variant': 242, 'non_coding_transcript_variant': 197, 'upstream_gene_variant': 47, 'downstream_gene_variant': 291}	{'missense_variant': 23, 'synonymous_variant': 46}	{'tolerated': 9}	{'benign': 9}	{'chr2': 37}	{'00-10%': 2, '10-20%': 3, '20-30%': 5, '30-40%': 13, '40-50%': 14, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 2, '90-100%': 4}	{'Lines of input read': 37, 'Variants processed': 37, 'Variants filtered out': 0, 'Novel variants': 10, 'Existing variants': 27, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 0}
SAS_OPRM1	{'sequence_alteration': 3, 'insertion': 7, 'deletion': 15, 'SNV': 417}	{'stop_gained': 2, 'missense_variant': 4, 'synonymous_variant': 2, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 50, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 368}	{'stop_gained': 2, 'missense_variant': 32, 'synonymous_variant': 17, '5_prime_UTR_variant': 18, '3_prime_UTR_variant': 83, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 5351, 'NMD_transcript_variant': 659, 'non_coding_transcript_variant': 373, 'upstream_gene_variant': 197, 'downstream_gene_variant': 507, 'regulatory_region_variant': 14}	{'stop_gained': 2, 'missense_variant': 32, 'synonymous_variant': 17}	{'deleterious': 2, 'deleterious_low_confidence': 14, 'tolerated_low_confidence': 16}	{'unknown': 2, 'probably_damaging': 2, 'possibly_damaging': 3, 'benign': 25}	{'chr6': 442}	{'00-10%': 33, '10-20%': 5, '20-30%': 5, '30-40%': 1, '40-50%': 1, '50-60%': 1, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 442, 'Variants processed': 442, 'Variants filtered out': 0, 'Novel variants': 151, 'Existing variants': 291, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 8}
